X|Y|OBJECTID|primary_key|final_case_type|occ_year|occ_dt|obfAddress|priority|zone|grid|how_received|unit_id1|unit_id2|unit_id3|report_flag|case_status|cleared_by|x_rand|y_rand|disclaimer|place_name|CFSType
-111.899895069848213|33.407083331278407|3231|TE201372635|900|2013|2013-06-11T10:21:44.000Z|2XXX E BROADWAY RD|2|4|1602|T|2E41|2E32||N|Y|2|705118|875643|Point has not been altered||Check Welfare Call
-111.96010842412629|33.384916422419622|3232|TE201369347|459|2013|2013-06-03T15:20:40.000Z|4XXX S PRIEST DR|2|3|1320|9|3P41|3P31||Y|N|5|686740|867580|Point has not been altered| in RANCHO TEMPE TP|Burglary Call
-111.945882827645846|33.363672545413984|3233|TE201369521|390D|2013|2013-06-04T00:11:49.000Z| KYRENE RD / W GUADALUPE RD[JS|2|5|2212|S|5E52|||Y|Y|5|691080|859849|Point has not been altered||Drunk Driver Call
-111.885811483385453|33.423117557651921|3234|TE201372622|INVEST|2013|2013-06-11T09:58:02.000Z|2XXX E UNIVERSITY DR|3|2|0415|S|D416|||N|Y|2|709414|881478|Point has not been altered||Other Officer Initiated Call
-111.964556460531938|33.383136560613544|3235|TE201372646|911W|2013|2013-06-11T10:58:33.000Z|5XXX S ARIZONA MILLS CIR|3|3|1803|T|1P41|||N|N|2|685382|866933|Point has not been altered|ARIZONA MILLS MALL|911 Unable to Locate Call
-111.94571097527529|33.34919386350915|3236|TE201372648|647V|2013|2013-06-11T11:10:41.000Z| KYRENE RD / W ELLIOT RD|2|5|2608|9|2P52|||N|N|2|691131|854581|Point has not been altered||Suspicious Person/Vehicle Call
-111.937197968999556|33.425288182530501|3237|TE201372607|911P|2013|2013-06-11T09:32:17.000Z|1XX E 5TH ST|2|DT|0708|9|2P12|H715||N|Y|2|693736|882267|Point has not been altered||911 Hangup Call
-111.973139295861458|33.382357898866047|3238|TE201372629|VEHICL|2013|2013-06-11T10:08:14.000Z|2XXX W FREMONT DR|2|3|1806|S|2P31|||N|Y|2|682762|866651|Point has not been altered||Other Officer Initiated Call
-111.931993392472393|33.371329397367049|3239|TE201372655|FALSE|2013|2013-06-11T11:40:08.000Z|5XXX S COLLEGE AVE|2|5|2207|T|2E52|||N|Y|2|695321|862634|Point has not been altered||Alarm Call
-111.955289846233953|33.423390222141656|3240|TE201372632|419|2013|2013-06-11T10:09:55.000Z|1XXX W UNIVERSITY DR|4|1|0607|T|1P11|||N|Y|2|688216|881578|Point has not been altered||Criminal Information Call
-111.912584809387383|33.380067504398738|3241|TE201372127|240|2013|2013-06-09T20:54:54.000Z|1XXX E DUNBAR DR|2|6|2014|9|4E21|4E41||Y|Y|5|701246|865813|Point has not been altered||Assault Call
-111.971787279910416|33.37874158906039|3242|TE201372641|929|2013|2013-06-11T10:33:42.000Z|2XXX W BASELINE RD|2|3|1807|T|2E31|||N|Y|2|683174|865335|Point has not been altered|FRYS ELECTRONICS|Agency Assist Call
-111.960948994290646|33.420912023229299|3243|TE201372657|FALSE|2013|2013-06-11T11:45:41.000Z|9XX S PRIEST DR|2|1|0505|T|2P12|2E13||N|Y|2|686489|880677|Point has not been altered||Alarm Call
-111.945158960972748|33.363631487258765|3244|TE201372109|237|2013|2013-06-09T19:56:40.000Z|4XX W GUADALUPE RD|2|5|2606|T|4E61|P58|K412|Y|Y|5|691301|859834|Point has not been altered|MCDONALDS|Drugs Call
-111.959219710296765|33.403287114782749|3245|TE201372640|911M|2013|2013-06-11T10:34:35.000Z|1XXX W 23RD ST|2|3|1305|9|2P22|||N|Y|2|687014|874264|Point has not been altered||911 Hangup Call
-111.934835432854712|33.381234319468717|3246|TE201372649|900|2013|2013-06-11T11:10:54.000Z|3XX E MINTON DR|2|5|1911|T|2P51|2P51||N|N|2|694454|866238|Point has not been altered||Check Welfare Call
-111.884277083004221|33.424439146306163|3247|TE201372654|503P|2013|2013-06-11T11:38:43.000Z|2XXX E 6TH ST|2|2|0415|T|2E21|||N|Y|2|709882|881959|Point has not been altered|PD TEMPE MAIN STATION|Serve Court Order Call
-111.976436596583554|33.394256987853161|3248|TE201372650|929|2013|2013-06-11T11:16:53.000Z|3XXX S FAIR LN|3|3|0518|T|1P41|||N|Y|2|681758|870981|Point has not been altered||Agency Assist Call
-111.960824578569486|33.414692435515192|3249|TE2014106690|VEHICL|2014|2014-08-20T22:58:48.000Z| PRIEST DR / W 13TH ST|2|1|0809|S|5P12|||N|Y|W|686526|878414|Point has not been altered||Other Officer Initiated Call
-111.9660318423158|33.390957971198958|3250|TE2014106679|487R|2014|2014-08-20T22:19:29.000Z|1XXX W LA JOLLA DR|3|3|1802|T|5P31|5P32||Y|Y|5|684933|869779|Point has not been altered| in GALLERIA PALMS APARTMENTS|Theft Call
-111.917682621032114|33.414793735631932|3251|TE2014106692|SUBJEC|2014|2014-08-20T23:02:47.000Z| DORSEY LN / E APACHE BLVD[OW 2|2|2|1005|S|G403|G402||N|Y|2|699690|878448|Point has not been altered||Other Officer Initiated Call
-111.943873011298848|33.378214904222766|3252|TE2014106693|SUBJEC|2014|2014-08-20T23:06:58.000Z| KYRENE RD / W BASELINE RD[JW|2|3|1319|S|4P31|||N|Y|2|691695|865140|Point has not been altered||Other Officer Initiated Call
-111.90458676341197|33.41391366269697|3253|TE2014106695|415E|2014|2014-08-20T23:09:09.000Z|1XXX E APACHE BLVD|3|2|1107|T|4P21|||N|Y|2|703686|878128|Point has not been altered| in ARBOR PARK APARTMENTS|Loud Music/Noise/Party Call
-111.899601412069217|33.417343083447221|3254|TE2014106689|INVEST|2014|2014-08-20T22:55:50.000Z|2XXX E DON CARLOS AVE|3|2|1104|S|4P21|4P21||N|Y|2|705207|879376|Point has not been altered||Other Officer Initiated Call
-111.978009677559925|33.399434225182901|3255|TE2014106686|487VR|2014|2014-08-20T22:35:18.000Z|2XXX S 48TH ST|3|3|0515|T|5P31|||Y|Y|5|681279|872865|Point has not been altered||Stolen Vehicle Call
-111.891981045527331|33.40747777963162|3256|TE2014106697|VEHICL|2014|2014-08-20T23:17:49.000Z| PRICE RD SB / E BROADWAY RD|2|2|1207|S|G403|G402||N|Y|2|707533|875787|Point has not been altered||Other Officer Initiated Call
-111.943873011298848|33.378214904222766|3257|TE2014106701|SUBJEC|2014|2014-08-20T23:28:09.000Z| KYRENE RD / W BASELINE RD[JE|2|3|1319|S|4P31|||N|Y|2|691695|865140|Point has not been altered||Other Officer Initiated Call
-111.952187538494201|33.419208084740809|3258|TE2014106707|VEHICL|2014|2014-08-20T23:43:37.000Z| HARDY DR / W ELNA RAE ST|2|1|0803|S|5P12|||N|Y|W|689162|880056|Point has not been altered||Other Officer Initiated Call
-111.96990760654711|33.422879104125364|3259|TE2014106699|FALSE|2014|2014-08-20T23:24:34.000Z|7XX S 52ND ST|2|1|0502|T|4P13|P46||N|N|2|683756|881394|Point has not been altered||Alarm Call
-111.940297638940251|33.42158828570745|3260|TE2014106691|647T|2014|2014-08-20T23:00:51.000Z|8XX S MILL AVE|3|1|0901|T|4P12|||N|Y|2|692790|880921|Point has not been altered|CVS|Transient Call
